Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2017-12-03,2017,12,03,,-3.7,,-11.1,,-7.4,,25.4,,0.0,,,M,,M,0.0,,1,,,,<31,
2017-12-04,2017,12,04,,-2.2,,-5.7,,-4.0,,22.0,,0.0,,,M,,M,0.8,,1,,18,,35,
2017-12-05,2017,12,05,,1.5,,-4.3,,-1.4,,19.4,,0.0,,,M,,M,0.0,,3,,18,,32,
2017-12-06,2017,12,06,,-0.4,,-7.5,,-4.0,,22.0,,0.0,,,M,,M,0.0,,2,,,,<31,
2017-12-07,2017,12,07,,-1.0,,-4.5,,-2.8,,20.8,,0.0,,,M,,M,0.0,,3,,16,,32,
2017-12-08,2017,12,08,,-1.5,,-10.0,,-5.8,,23.8,,0.0,,,M,,M,0.0,,3,,,,<31,
2017-12-09,2017,12,09,,0.2,,-12.2,,-6.0,,24.0,,0.0,,,M,,M,0.0,,3,,,,<31,
2017-12-10,2017,12,10,,4.2,,-9.0,,-2.4,,20.4,,0.0,,,M,,M,0.0,,3,,20,,37,
2017-12-11,2017,12,11,,2.6,,-6.9,,-2.2,,20.2,,0.0,,,M,,M,0.0,,3,,,,<31,
2017-12-12,2017,12,12,,4.0,,-5.7,,-0.9,,18.9,,0.0,,,M,,M,0.0,,3,,18,,50,
2017-12-13,2017,12,13,,3.8,,-0.1,,1.9,,16.1,,0.0,,,M,,M,0.0,T,3,,,,<31,
2017-12-14,2017,12,14,,2.7,,0.6,,1.7,,16.3,,0.0,,,M,,M,1.0,,3,,21,,48,
2017-12-15,2017,12,15,,2.1,,-4.5,,-1.2,,19.2,,0.0,,,M,,M,0.0,,3,,18,,41,
2017-12-16,2017,12,16,,-0.4,,-7.0,,-3.7,,21.7,,0.0,,,M,,M,3.6,,3,,19,,52,
2017-12-17,2017,12,17,,0.4,,-3.2,,-1.4,,19.4,,0.0,,,M,,M,0.8,,6,,18,,52,
2017-12-18,2017,12,18,,-2.5,,-7.6,,-5.1,,23.1,,0.0,,,M,,M,0.2,,7,,,,<31,
2017-12-19,2017,12,19,,-4.3,,-13.9,,-9.1,,27.1,,0.0,,,M,,M,0.0,,7,,,,<31,
2017-12-20,2017,12,20,,-8.4,,-20.5,,-14.5,,32.5,,0.0,,,M,,M,0.0,,6,,,,<31,
2017-12-21,2017,12,21,,-6.8,,-19.4,,-13.1,,31.1,,0.0,,,M,,M,5.3,,11,,,,<31,
2017-12-22,2017,12,22,,-11.5,,-24.3,,-17.9,,35.9,,0.0,,,M,,M,0.0,,12,,,,<31,
2017-12-23,2017,12,23,,-15.5,,-24.2,,-19.9,,37.9,,0.0,,,M,,M,0.0,,12,,,,<31,
2017-12-24,2017,12,24,,-18.2,,-25.6,,-21.9,,39.9,,0.0,,,M,,M,0.0,T,13,,,,<31,
2017-12-25,2017,12,25,,-19.9,,-29.5,,-24.7,,42.7,,0.0,,,M,,M,0.0,,13,,,,<31,
2017-12-26,2017,12,26,,-17.8,,-30.3,,-24.1,,42.1,,0.0,,,M,,M,0.0,T,13,,,,<31,
2017-12-27,2017,12,27,,-16.5,,-29.8,,-23.2,,41.2,,0.0,,,M,,M,0.3,,15,,,,<31,
2017-12-28,2017,12,28,,-17.1,,-32.8,,-25.0,,43.0,,0.0,,,M,,M,0.4,,15,,34,,33,
2017-12-29,2017,12,29,,-18.1,,-21.3,,-19.7,,37.7,,0.0,,,M,,M,0.0,,14,,35,,32,
2017-12-30,2017,12,30,,-20.2,,-29.1,,-24.7,,42.7,,0.0,,,M,,M,0.0,,14,,36,,32,
2017-12-31,2017,12,31,,-16.2,,-26.0,,-21.1,,39.1,,0.0,,,M,,M,0.3,,14,,,,<31,
